,ort,plz,bundesland,latitude,longitude,demand
700,Recklinghausen,45661,Nordrhein-Westfalen,51.5646902,7.207129374040804,162
701,Recklinghausen,45663,Nordrhein-Westfalen,51.57101745,7.219128133345376,243
702,Recklinghausen,45665,Nordrhein-Westfalen,51.6095659,7.2576574349373315,155
703,Rees,46459,Nordrhein-Westfalen,51.769973799999995,6.377376340635937,155
704,Reichshof,51580,Nordrhein-Westfalen,50.934776,7.7505520999999975,239
705,Reken,48734,Nordrhein-Westfalen,51.836862200000006,7.098259975501456,225
706,Remscheid,42853,Nordrhein-Westfalen,51.18481515,7.176716939932659,275
707,Remscheid,42855,Nordrhein-Westfalen,51.193593299999996,7.196211671780657,299
708,Remscheid,42857,Nordrhein-Westfalen,51.17173015,7.164650395788849,192
709,Remscheid,42859,Nordrhein-Westfalen,51.1656605,7.211338210294117,172
710,Remscheid,42897,Nordrhein-Westfalen,51.1963393,7.258334669708594,258
711,Remscheid,42899,Nordrhein-Westfalen,51.2049797,7.236671891955991,207
712,Rheda-Wiedenbrück,33378,Nordrhein-Westfalen,51.8532153,8.282864447149088,161
713,Rhede,46414,Nordrhein-Westfalen,51.84850365,6.688861811337786,263
714,Rheinbach,53359,Nordrhein-Westfalen,50.603132650000006,6.931423105122634,265
715,Rheinberg,47495,Nordrhein-Westfalen,51.5215276,6.686124946532276,240
716,Rheine,48429,Nordrhein-Westfalen,52.27999570000001,7.463576373151074,154
717,Rheine,48431,Nordrhein-Westfalen,52.275526,7.4263621001627005,192
718,Rheine,48432,Nordrhein-Westfalen,52.26677755,7.5144167137614115,188
719,Rheurdt,47509,Nordrhein-Westfalen,51.45127005000001,6.468155280879558,171
720,Rietberg,33397,Nordrhein-Westfalen,51.75425275,8.388781911512536,281
721,Rödinghausen,32289,Nordrhein-Westfalen,52.22499595,8.517085878466293,225
722,Roetgen,52159,Nordrhein-Westfalen,50.63696575,6.213200776633654,157
723,Rommerskirchen,41569,Nordrhein-Westfalen,51.06431845,6.675534029209353,276
724,Rosendahl,48720,Nordrhein-Westfalen,52.041985700000005,7.2931337685539654,205
725,Rösrath,51503,Nordrhein-Westfalen,50.88655415,7.180347292932752,227
726,Ruppichteroth,53809,Nordrhein-Westfalen,50.84392285,7.4768010915796355,269
727,Rüthen,59602,Nordrhein-Westfalen,51.50204975,8.43690398957862,261
728,Saerbeck,48369,Nordrhein-Westfalen,52.1699994,7.638746296773193,168
729,Salzkotten,33154,Nordrhein-Westfalen,51.6714885,8.620921673333337,195
730,Sankt Augustin,53757,Nordrhein-Westfalen,50.7678883,7.199806620764033,209
731,Sassenberg,48336,Nordrhein-Westfalen,52.0120567,8.035292134122022,170
732,Schalksmühle,58579,Nordrhein-Westfalen,51.25852365,7.559143253525907,207
733,Schermbeck,46514,Nordrhein-Westfalen,51.68987385,6.839192936379198,162
734,Schieder-Schwalenberg,32816,Nordrhein-Westfalen,51.91477805,9.157552873469236,182
735,Schlangen,33189,Nordrhein-Westfalen,51.80722335,8.847580250496687,217
736,Schleiden,53937,Nordrhein-Westfalen,50.52991775,6.4770264999999965,240
737,Schloß Holte-Stukenbrock,33758,Nordrhein-Westfalen,51.9144078,8.603894050000001,242
738,Schmallenberg,57392,Nordrhein-Westfalen,51.1824891,8.34208555,274
739,Schöppingen,48624,Nordrhein-Westfalen,52.05896595,7.242721011605703,247
740,Schwalmtal,41366,Nordrhein-Westfalen,51.22195745000001,6.270684388647496,202
741,Schwelm,58332,Nordrhein-Westfalen,51.28896015,7.2965259949596115,171
742,Schwerte,58239,Nordrhein-Westfalen,51.43014285,7.5530180929106985,207
743,Selfkant,52538,Nordrhein-Westfalen,51.0372335,5.8840322796695474,252
744,Selm,59379,Nordrhein-Westfalen,51.690504600000004,7.466471552545628,288
745,Senden,48308,Nordrhein-Westfalen,51.91329500000001,7.481416051315354,236
746,Sendenhorst,48324,Nordrhein-Westfalen,51.84112835,7.839265962222906,225
747,Siegburg,53721,Nordrhein-Westfalen,50.7894372,7.217719177973876,160
748,Siegen,57072,Nordrhein-Westfalen,50.87695665,7.994307185880476,265
749,Siegen,57074,Nordrhein-Westfalen,50.87795255,8.041654931610928,271
750,Siegen,57076,Nordrhein-Westfalen,50.8885165,8.032976479817275,208
751,Siegen,57078,Nordrhein-Westfalen,50.91656775,7.997059877054678,172
752,Siegen,57080,Nordrhein-Westfalen,50.84850415,8.004861863906447,207
753,Simmerath,52152,Nordrhein-Westfalen,50.6092547,6.365411826551588,289
754,Soest,59494,Nordrhein-Westfalen,51.574470899999994,8.100130560252707,267
755,Solingen,42651,Nordrhein-Westfalen,51.17439810000001,7.084293416823988,197
756,Solingen,42653,Nordrhein-Westfalen,51.18313365,7.0806586600909105,209
757,Solingen,42655,Nordrhein-Westfalen,51.170914200000006,7.07659455,225
