ort,plz,bundesland,latitude,longitude
Gelsenkirchen,45881,Nordrhein-Westfalen,51.5271364,7.071819122780935
Gelsenkirchen,45883,Nordrhein-Westfalen,51.5237233,7.0700652
Gelsenkirchen,45884,Nordrhein-Westfalen,51.491619400000005,7.0855561467331185
Gelsenkirchen,45886,Nordrhein-Westfalen,51.501111699999996,7.13503012895308
Gelsenkirchen,45888,Nordrhein-Westfalen,51.515230200000005,7.122011612472725
Gelsenkirchen,45889,Nordrhein-Westfalen,51.5370164,7.110388170785486
Gelsenkirchen,45891,Nordrhein-Westfalen,51.56423485,7.097538782879388
Gelsenkirchen,45892,Nordrhein-Westfalen,51.57096885,7.115799277772824
Gelsenkirchen,45894,Nordrhein-Westfalen,51.5803739,7.054478415570346
Gelsenkirchen,45896,Nordrhein-Westfalen,51.6052256,7.036882912198498
Gelsenkirchen,45897,Nordrhein-Westfalen,51.55633625,7.053920450000003
Gelsenkirchen,45899,Nordrhein-Westfalen,51.52459655,7.022671093658535
Gescher,48712,Nordrhein-Westfalen,51.94862185,7.0148026813602
Geseke,59590,Nordrhein-Westfalen,51.6319512,8.506574899999999
Gevelsberg,58285,Nordrhein-Westfalen,51.3164967,7.301983683234681
Gladbeck,45964,Nordrhein-Westfalen,51.571681999999996,6.977029300000002
Gladbeck,45966,Nordrhein-Westfalen,51.5904652,6.977051468561678
Gladbeck,45968,Nordrhein-Westfalen,51.55307055,7.001039808717216
Goch,47574,Nordrhein-Westfalen,51.7235646,6.142198825757706
Grefrath,47929,Nordrhein-Westfalen,51.3419686,6.346663822271356
Greven,48268,Nordrhein-Westfalen,52.0906504,7.617869598467377
Grevenbroich,41515,Nordrhein-Westfalen,51.11330755,6.571137864433964
Grevenbroich,41516,Nordrhein-Westfalen,51.1281013,6.675840771677928
Grevenbroich,41517,Nordrhein-Westfalen,51.04221775,6.575046618875367
Gronau,48599,Nordrhein-Westfalen,52.212535349999996,7.022194136685554
Gummersbach,51643,Nordrhein-Westfalen,51.02718415,7.5601167273587375
Gummersbach,51645,Nordrhein-Westfalen,51.02693185,7.615635782256435
Gummersbach,51647,Nordrhein-Westfalen,51.063780699999995,7.6778795421419925
Gütersloh,33330,Nordrhein-Westfalen,51.91674085,8.376199368437346
Gütersloh,33332,Nordrhein-Westfalen,51.897222150000005,8.400652483977293
Gütersloh,33333,Nordrhein-Westfalen,51.8849363,8.443220722861673
Gütersloh,33334,Nordrhein-Westfalen,51.9165593,8.331240135994186
Gütersloh,33335,Nordrhein-Westfalen,51.92199805,8.461383312611584
Haan,42781,Nordrhein-Westfalen,51.1932677,6.989192198555443
Hagen,58089,Nordrhein-Westfalen,51.4002948,7.4555215
Hagen,58091,Nordrhein-Westfalen,51.33920235,7.5131716966938
Hagen,58093,Nordrhein-Westfalen,51.371627450000005,7.50938890001359
Hagen,58095,Nordrhein-Westfalen,51.36528265,7.497109391522575
Hagen,58097,Nordrhein-Westfalen,51.370102349999996,7.479911909166301
Hagen,58099,Nordrhein-Westfalen,51.40755835,7.474848745979674
Hagen,58119,Nordrhein-Westfalen,51.3635182,7.559565117301986
Hagen,58135,Nordrhein-Westfalen,51.33039675,7.437582370954159
Hallenberg,59969,Nordrhein-Westfalen,51.123755599999996,8.613475575108254
Halle (Westf.),33790,Nordrhein-Westfalen,52.06261605,8.356433735651937
Haltern am See,45721,Nordrhein-Westfalen,51.75441575,7.130855043435331
Halver,58553,Nordrhein-Westfalen,51.18243565,7.495225840304048
Hamm,59063,Nordrhein-Westfalen,51.6833376,7.831183063014796
Hamm,59065,Nordrhein-Westfalen,51.6857366,7.829548915786036
Hamm,59067,Nordrhein-Westfalen,51.660934749999996,7.781342958888057
Hamm,59069,Nordrhein-Westfalen,51.62254685,7.8494179498066305
Hamm,59071,Nordrhein-Westfalen,51.679191599999996,7.855994497035214
Hamm,59073,Nordrhein-Westfalen,51.715804750000004,7.833447661444322
Hamm,59075,Nordrhein-Westfalen,51.694783,7.763642747116258
Hamm,59077,Nordrhein-Westfalen,51.65755265,7.743773658787539
Hamminkeln,46499,Nordrhein-Westfalen,51.74503115,6.744019732150535
